"incident_id","underlying_case_type","overlapping_case_type_flags","victim_suicide","homicide_suicide","victim_alcohol_indicator","perpetrator_alcohol_indicator","both_alcohol_indicators"
"INC-0001","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0002","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0003","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0004","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0005","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0006","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0007","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0009","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0010","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0011","IPV",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"INC-0012","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0013","IPV",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0014","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0015","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0016","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0017","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0018","IPV",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"INC-0019","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0020","IPV",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"INC-0021","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0022","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0023","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0024","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0025","IPV",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0026","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0028","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0029","Other/uncategorised",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0030","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
