"incident_id","victim_alcohol_indicator","perpetrator_alcohol_indicator","any_alcohol_indicator","both_victim_and_perpetrator_alcohol"
"INC-0001",FALSE,FALSE,FALSE,FALSE
"INC-0002",TRUE,FALSE,TRUE,FALSE
"INC-0003",FALSE,FALSE,FALSE,FALSE
"INC-0004",FALSE,FALSE,FALSE,FALSE
"INC-0005",TRUE,TRUE,TRUE,TRUE
"INC-0006",FALSE,FALSE,FALSE,FALSE
"INC-0007",FALSE,FALSE,FALSE,FALSE
"INC-0009",TRUE,TRUE,TRUE,TRUE
"INC-0010",FALSE,FALSE,FALSE,FALSE
"INC-0011",FALSE,TRUE,TRUE,FALSE
"INC-0012",FALSE,FALSE,FALSE,FALSE
"INC-0013",FALSE,FALSE,FALSE,FALSE
"INC-0014",FALSE,FALSE,FALSE,FALSE
"INC-0015",FALSE,TRUE,TRUE,FALSE
"INC-0016",FALSE,FALSE,FALSE,FALSE
"INC-0017",FALSE,TRUE,TRUE,FALSE
"INC-0018",TRUE,TRUE,TRUE,TRUE
"INC-0019",FALSE,FALSE,FALSE,FALSE
"INC-0020",TRUE,TRUE,TRUE,TRUE
"INC-0021",TRUE,FALSE,TRUE,FALSE
"INC-0022",TRUE,FALSE,TRUE,FALSE
"INC-0023",TRUE,TRUE,TRUE,TRUE
"INC-0024",FALSE,FALSE,FALSE,FALSE
"INC-0025",FALSE,FALSE,FALSE,FALSE
"INC-0026",FALSE,FALSE,FALSE,FALSE
"INC-0028",FALSE,FALSE,FALSE,FALSE
"INC-0029",FALSE,TRUE,TRUE,FALSE
"INC-0030",FALSE,FALSE,FALSE,FALSE
"INC-0031",FALSE,FALSE,FALSE,FALSE
"INC-0032",TRUE,FALSE,TRUE,FALSE
"INC-0033",TRUE,TRUE,TRUE,TRUE
"INC-0034",FALSE,TRUE,TRUE,FALSE
"INC-0035",FALSE,TRUE,TRUE,FALSE
"INC-0036",FALSE,FALSE,FALSE,FALSE
"INC-0037",FALSE,FALSE,FALSE,FALSE
"INC-0038",FALSE,FALSE,FALSE,FALSE
"INC-0039",FALSE,FALSE,FALSE,FALSE
"INC-0040",FALSE,TRUE,TRUE,FALSE
"INC-0041",FALSE,FALSE,FALSE,FALSE
"INC-0042",TRUE,FALSE,TRUE,FALSE
"INC-0043",TRUE,TRUE,TRUE,TRUE
"INC-0044",TRUE,TRUE,TRUE,TRUE
"INC-0045",FALSE,TRUE,TRUE,FALSE
"INC-0046",FALSE,FALSE,FALSE,FALSE
"INC-0047",FALSE,FALSE,FALSE,FALSE
"INC-0048",TRUE,TRUE,TRUE,TRUE
"INC-0049",FALSE,TRUE,TRUE,FALSE
"INC-0050",FALSE,FALSE,FALSE,FALSE
